username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Anthony Lum,33812432,"ÜT: 37.745009,-122.447571",1/22/2023 23:26,Happy Lunar New Year to all my friends and family! May it be prosperous and healthy!!! #goonghayfatchoy @ San Franc�?https://t.co/mbYYpJQe7p,0,Instagram,"{'type': 'Point', 'coordinates': [-122.419, 37.7793]}"
Shawn Chitnis,43820561,"San Francisco, CA",1/22/2023 23:24,"While it feels hard to share positive messages for a new year on a day like today�?

I still hope the Year of the R�?https://t.co/LYs5K1TW9D",3,Twitter for iPhone,
Amber 🌙,2565956202,"San Anselmo, CA",1/22/2023 23:19,@MyNameIsOn2 Happy Lunar New Year!,0,Twitter for Android,
Urban Peace Movement,27744815,"Oakland, CA",1/22/2023 23:16,"Together we can envision the possibility of a more peaceful society. 

May this New Year of the Rabbit bring good f�?https://t.co/dptEEtHhMH",0,Twitter for iPhone,
Artifact,1.26744E+18,San Francisco,1/22/2023 23:16,"Happy New Year to all those celebrating the Lunar New Year! Luckiest of the 12 zodiacs, this year of the Water Rabb�?https://t.co/DGMkauM0mb",0,Buffer,
Nadia Rahman 駱雯,20207702,"San Francisco, CA",1/22/2023 23:15,Such a treat to celebrate the first day of the Lunar New Year in America’s oldest Chinatown right here in San Franc�?https://t.co/yVFWjHyISs,0,Twitter for iPhone,
Lisa Jackson,37683428,"Berkeley, California",1/22/2023 23:14,"New year hike—just me, @nicknada and Frankie while the kids played basketball at the park 💜🐰☀�?https://t.co/IQ4RegwZm5",0,Instagram,
Lisa Jackson,37683428,"Berkeley, California",1/22/2023 23:12,"New year hike—just me, @nicknada and Frankie while the kids played basketball at the park 💜🐰☀�?https://t.co/jOYflDjegh",0,Instagram,
AsAmNews,241608523,San Francisco,1/22/2023 23:08,A dance troupe of senior community members in California's Bay Area have kicked off their Lunar New Year celebratio�?https://t.co/2zaZJIeRhj,0,Twitter Web App,
Bob Lehto,25532159,San Francisco,1/22/2023 23:05,"@Lanniemedina35 Thanks, Lannie. I hope I see you at a @techbayarea event in the near future. Until then, all the best and happy new year!",0,Twitter Web App,
Simone Koga,369757962,"Oakland, CA",1/22/2023 23:00,"Happy Lunar New Year from the Simone Koga Group!

#rabbit #2023 #prosperity #happylunarnewyear https://t.co/HMmcJfsxIL",0,Loomly,
Alexander Sing,263830723,"Oakland, CA",1/22/2023 23:00,"Kung Hei Fat Choi! #LunarNewYear2023 is the #YearOfTheRabbit 🐇, my Chinese/Lunar zodiac sign. I created this digita�?https://t.co/WfQunFfbBC",0,Twitter Web App,
Carly Chillmon,1.14971E+18,"San Francisco, CA",1/22/2023 22:59,@daparker26 Join the city in watching the 49ers or head to Chinatown and celebrate Lunar New Year! 🏈 🐇,0,Twitter Web App,
Lo,30617164,OAKLAND,1/22/2023 22:58,Happy lunar new year &amp; Aquarius moon to me 🐉🧧�?0,Twitter for iPhone,,
Alex,154414088,"San Francisco, CA",1/22/2023 22:57,"Lunar New Year is supposed to be about a fresh start, renewal, family, happiness and good fortune.

After the Monte�?https://t.co/oewNqQ3RJu",0,Twitter for Android,
Brittany,62593573,"Oakland, CA",1/22/2023 22:56,Happy Lunar New Year! #Oakland https://t.co/9qEvQnkiCx,0,Twitter for iPhone,
Saul_Goode,1.32766E+18,"San Francisco, CA",1/22/2023 22:56,"Happy Lunar New Year!
#LunarNewYear",0,Twitter Web App,
Mandy,1488733873,San Francisco,1/22/2023 22:51,Love my Lunar New Year Look🐰 https://t.co/dI1pKsqOdY,0,Twitter for iPhone,
Natto,14782639,San Francisco,1/22/2023 22:51,MLB’s new year post is going well https://t.co/q0vkfwW8Xd,0,Twitter for iPhone,
Log Cabin Republicans of San Francisco,1.18435E+18,"San Francisco, CA",1/22/2023 22:50,Wishing everyone a happy Lunar New Year! https://t.co/68i90Rjkcx,1,Twitter for iPhone,
lulu 🌸 🌱,24810200,"San Francisco, CA",1/22/2023 22:49,another lunar new year piece!? fanart of @sailorhg wearing this super cute da bai tu (white rabbit candy) qipao she�?https://t.co/3s3gvTRbtT,2,Twitter Web App,
San Francisco Cable Car Museum,348577599,"San Francisco, CA",1/22/2023 22:49,A very Happy Lunar New Year to all; a Powell car in 1962 decorated for the festivities! https://t.co/huIylGVqui,6,Twitter Web App,
Veronica,7.81672E+17,"San Francisco, CA",1/22/2023 22:37,Happy Lunar New Year!,0,Twitter for iPhone,
Toolify,1.42117E+18,"San Francisco, California",1/22/2023 22:35,"Happy Lunar New Year! 🧧

https://t.co/tKYXz9auV4 https://t.co/VFfRHhORUL",0,Twitter Web App,
RRP,7.24679E+17,"Oakland, CA",1/22/2023 22:32,@LakeShow4Life9 Bills need to get a new head coach and D coordinator. Not going beyond the playoffs unless they do. 4th year now.,0,Twitter for iPhone,
Honey Mahogany,165580872,"San Francisco, CA",1/22/2023 22:31,🙏🏾🙏🏾🙏🏾  Apalled by the #MontereyPark shooting during Lunar New Year celebrations. Gun violence and hate impacts all�?https://t.co/LywrJhRkjz,5,Twitter for iPhone,
Nancy Pelosi,2461810448,San Francisco,1/22/2023 22:30,"As families come together in San Francisco, across America and around the globe to mark the Lunar New Year, may the�?https://t.co/43paT6MjGx",141,Twitter Web App,
sprout,230295486,"San Francisco, CA",1/22/2023 22:25,Happy lunar new year 🧧❤️🐇 https://t.co/wqGKyxWdNF,0,Twitter for iPhone,
Jenn M Choi,99601887,Berlin/San Francisco,1/22/2023 22:24,@StanMorrical Thank you so much! Happy lunar new year! 🤗,0,Twitter for iPhone,
AsAmNews,241608523,San Francisco,1/22/2023 22:23,"The shooting killed five men and five women, injuring 10 people. Police have released photos of the suspect who the�?https://t.co/FsV6nF8P9G",1,Twitter Web App,
Brooke Jenkins 謝安�?989571344550391808,"San Francisco, CA",1/22/2023 22:21,We came together to celebrate &amp; ring in the Lunar New Year as a community this morning. We mourn the Monterey Park�?https://t.co/Vvg40nypRs,8,Twitter for iPhone,,
Sitejabber,40279667,"San Francisco, CA",1/22/2023 22:20,"May the new year bring you prosperity. 
#yearoftherabbit #lunarnewyear https://t.co/mVlEV5JDWA",0,Sprout Social,
Vikrum Aiyer,14720592,,1/22/2023 22:19,"The devastation that tore through Monterey Park, not only leaves a hole in a nation that pleads for gun control dai�?https://t.co/5xNtHwrwHh",2,Twitter for iPhone,
